rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0297.jpg,118.8,0.7974,0.7547,1.0,0.6,10,6,False,True
2,frame_0295.jpg,118.0,0.7191,0.6662,0.8333,0.68,10,5,False,False
3,frame_0018.jpg,7.2,0.7151,0.6302,0.6667,1.0,7,4,False,True
4,frame_0029.jpg,11.6,0.7127,0.6253,0.6667,1.0,10,4,False,True
5,frame_0074.jpg,29.6,0.7086,0.5173,0.8333,1.0,12,5,False,True
6,frame_0031.jpg,12.4,0.6937,0.4875,0.8333,1.0,10,5,False,False
7,frame_0296.jpg,118.4,0.6887,0.7213,0.6667,0.64,11,4,False,False
8,frame_0002.jpg,0.8,0.6607,0.6214,0.5,1.0,13,3,False,True
9,frame_0278.jpg,111.2,0.6596,0.6913,0.8333,0.32,10,5,False,True
10,frame_0015.jpg,6.0,0.6595,0.619,0.5,1.0,8,3,False,False
11,frame_0368.jpg,147.2,0.6587,0.8015,0.8333,0.04,13,5,False,True
12,frame_0170.jpg,68.0,0.6577,0.7233,0.6667,0.48,10,4,False,True
13,frame_0072.jpg,28.8,0.6463,0.4925,0.6667,1.0,13,4,False,False
14,frame_0275.jpg,110.0,0.6425,0.605,1.0,0.2,13,6,False,False
15,frame_0378.jpg,151.2,0.6367,0.8413,0.6667,0.08,12,4,False,True
16,frame_0000.jpg,0.0,0.6316,0.6632,0.3333,1.0,7,2,False,False
17,frame_0301.jpg,120.4,0.6185,0.6609,0.6667,0.44,9,4,False,False
18,frame_0328.jpg,131.2,0.611,0.59,1.0,0.08,16,6,False,True
19,frame_0293.jpg,117.2,0.6099,0.6157,0.5,0.76,11,3,False,False
20,frame_0285.jpg,114.0,0.6052,0.5704,0.6667,0.6,9,4,False,True
21,frame_0005.jpg,2.0,0.6022,0.5044,0.5,1.0,7,3,False,False
22,frame_0071.jpg,28.4,0.6016,0.5032,0.5,1.0,10,3,False,False
23,frame_0032.jpg,12.8,0.601,0.6021,0.3333,1.0,9,2,False,False
24,frame_0292.jpg,116.8,0.6008,0.6817,0.3333,0.8,9,2,False,True
25,frame_0077.jpg,30.8,0.5975,0.543,0.5,0.88,10,3,False,False
26,frame_0069.jpg,27.6,0.5879,0.5758,0.3333,1.0,13,2,False,False
27,frame_0075.jpg,30.0,0.5834,0.5829,0.3333,0.96,8,2,False,False
28,frame_0206.jpg,82.4,0.583,0.862,0.0,0.76,1,0,False,False
29,frame_0130.jpg,52.0,0.58,0.492,0.5,0.92,14,3,False,False
30,frame_0126.jpg,50.4,0.5768,0.5496,0.5,0.76,8,3,False,False
31,frame_0384.jpg,153.6,0.5756,0.8873,0.3333,0.16,13,2,False,False
32,frame_0033.jpg,13.2,0.5722,0.4445,0.5,1.0,11,3,False,False
33,frame_0001.jpg,0.4,0.5717,0.5434,0.3333,1.0,12,2,False,False
34,frame_0196.jpg,78.4,0.5713,0.7987,0.3333,0.36,2,2,False,False
35,frame_0330.jpg,132.0,0.5708,0.6256,0.8333,0.04,13,5,False,False
36,frame_0020.jpg,8.0,0.5656,0.5313,0.3333,1.0,6,2,False,False
37,frame_0004.jpg,1.6,0.5637,0.5275,0.3333,1.0,7,2,False,False
38,frame_0306.jpg,122.4,0.5629,0.6298,0.6667,0.24,11,4,False,False
39,frame_0030.jpg,12.0,0.5622,0.4244,0.5,1.0,9,3,False,False
40,frame_0010.jpg,4.0,0.5598,0.5197,0.3333,1.0,5,2,False,False
41,frame_0386.jpg,154.4,0.5595,0.6229,0.6667,0.24,13,4,False,False
42,frame_0300.jpg,120.0,0.5587,0.5253,0.6667,0.48,12,4,False,False
43,frame_0280.jpg,112.0,0.5528,0.8456,0.1667,0.4,11,1,False,False
44,frame_0289.jpg,115.6,0.5445,0.5851,0.3333,0.76,9,2,False,False
45,frame_0291.jpg,116.4,0.5445,0.553,0.3333,0.84,8,2,False,False
46,frame_0276.jpg,110.4,0.5424,0.5887,0.6667,0.24,13,4,False,False
47,frame_0078.jpg,31.2,0.5394,0.6428,0.1667,0.84,11,1,False,False
48,frame_0389.jpg,155.6,0.5387,0.6294,0.6667,0.12,10,4,False,False
49,frame_0233.jpg,93.2,0.5372,0.5783,0.6667,0.24,10,4,False,False
50,frame_0132.jpg,52.8,0.5364,0.5728,0.1667,1.0,11,1,False,False
51,frame_0021.jpg,8.4,0.5349,0.4698,0.3333,1.0,7,2,False,False
52,frame_0073.jpg,29.2,0.5348,0.4696,0.3333,1.0,9,2,False,False
53,frame_0123.jpg,49.2,0.5328,0.6097,0.3333,0.64,10,2,False,False
54,frame_0082.jpg,32.8,0.5325,0.493,0.5,0.68,14,3,False,False
55,frame_0317.jpg,126.8,0.5285,0.477,0.8333,0.2,9,5,False,False
56,frame_0226.jpg,90.4,0.528,0.6399,0.6667,0.04,12,4,False,False
57,frame_0290.jpg,116.0,0.5279,0.6358,0.1667,0.8,10,1,False,False
58,frame_0014.jpg,5.6,0.5278,0.4557,0.3333,1.0,6,2,False,False
59,frame_0282.jpg,112.8,0.5271,0.5622,0.5,0.48,10,3,False,False
60,frame_0307.jpg,122.8,0.527,0.674,0.5,0.2,9,3,False,False
61,frame_0026.jpg,10.4,0.5265,0.353,0.5,1.0,9,3,False,False
62,frame_0171.jpg,68.4,0.5239,0.5719,0.5,0.44,8,3,False,False
63,frame_0383.jpg,153.2,0.5229,0.5977,0.6667,0.12,11,4,False,False
64,frame_0288.jpg,115.2,0.5223,0.4566,0.5,0.72,8,3,False,False
65,frame_0070.jpg,28.0,0.5219,0.4439,0.3333,1.0,10,2,False,False
66,frame_0067.jpg,26.8,0.5218,0.4437,0.3333,1.0,11,2,False,False
67,frame_0309.jpg,123.6,0.5208,0.6936,0.5,0.12,9,3,False,False
68,frame_0124.jpg,49.6,0.5178,0.4635,0.5,0.68,15,3,False,False
69,frame_0379.jpg,151.6,0.5178,0.6195,0.6667,0.04,15,4,False,False
70,frame_0370.jpg,148.0,0.5177,0.8194,0.3333,0.04,15,2,False,False
71,frame_0374.jpg,149.6,0.517,0.7541,0.3333,0.2,12,2,False,False
72,frame_0387.jpg,154.8,0.5157,0.6514,0.5,0.2,13,3,False,False
73,frame_0085.jpg,34.0,0.5126,0.5013,0.5,0.56,8,3,False,False
74,frame_0011.jpg,4.4,0.5123,0.5246,0.1667,1.0,4,1,False,False
75,frame_0173.jpg,69.2,0.5108,0.4775,0.6667,0.36,9,4,False,False
76,frame_0305.jpg,122.0,0.5104,0.6087,0.5,0.28,9,3,False,False
77,frame_0319.jpg,127.6,0.5067,0.6014,0.5,0.28,7,3,False,False
78,frame_0186.jpg,74.4,0.5066,0.5972,0.6667,0.04,11,4,False,False
79,frame_0377.jpg,150.8,0.5039,0.5598,0.6667,0.12,14,4,False,False
80,frame_0125.jpg,50.0,0.5023,0.4167,0.5,0.72,11,3,False,False
81,frame_0112.jpg,44.8,0.5011,0.6223,0.5,0.2,9,3,False,False
82,frame_0217.jpg,86.8,0.4993,0.6386,0.3333,0.4,5,2,False,False
83,frame_0287.jpg,114.8,0.4956,0.4192,0.5,0.68,10,3,False,False
84,frame_0371.jpg,148.4,0.4949,0.6578,0.5,0.08,10,3,False,False
85,frame_0176.jpg,70.4,0.489,0.582,0.5,0.24,10,3,False,False
